work,n,ok,pattern,quantities,cost,alternatives,unknown_nuclei,flags,nuclei,text
Theogony,13,True,LLLSSLSSLLLSSLL,LLLSSLSSLLLSSLL,0.0,1,0,,ου:L:nature η:L:nature+position αι:L:nature ι:S:lexicon ο:S:nature οι:L:nature ο:S:nature ι:S:lexicon ο:L:position αυ:L:nature ω:L:nature ι:S:lexicon α:S:lexicon η:L:nature η:L:line_final,κούρην τ’ αἰγιόχοιο Διὸς γλαυκῶπιν Ἀθήνην
Theogony,14,True,LLLLLSSLSSLSSLL,LLLLLSSLSSLSSLL,1.5,1,0,correption;lexicon_overridden,οι:L:nature ο:L:position α:L:lexicon ο:L:position ω:L:nature α:S:lexicon αι:S:nature α:L:position ε:S:nature ι:S:lexicon ι:L:lexicon ο:S:nature ε:S:nature αι:L:nature α:L:lexicon,Φοῖβόν τ’ Ἀπόλλωνα καὶ Ἄρτεμιν ἰοχέαιραν
Theogony,15,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.0,1,0,,η:L:nature ε:S:nature ο:S:nature ει:L:nature α:L:lexicon ω:L:nature α:S:lexicon ε:S:nature η:L:nature ο:S:nature ο:S:nature ε:L:position ο:S:nature ι:S:lexicon αι:L:nature ο:L:line_final,"ἠδὲ Ποσειδάωνα γεήοχον, ἐννοσίγαιον,"
Theogony,16,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,1.0,1,2,lexicon_overridden,αι:L:nature ε:S:nature ι:S:lexicon αι:L:nature οι:L:nature η:L:nature ε:S:nature ι:S:unknown ο:L:position ε:S:nature α:S:unknown ο:L:position α:S:lexicon ο:S:nature ι:L:lexicon η:L:line_final,καὶ Θέμιν αἰδοίην ἑλικοβλέφαρόν τ’ Ἀφροδίτην
Theogony,17,True,LLLLLSSLLLSSLL,LLLLLSSLLLSSLL,0.0,1,2,,η:L:nature η:L:nature+position ε:L:position υ:L:unknown ο:L:position ε:S:nature α:S:unknown ο:L:position α:L:lexicon η:L:nature+position ε:S:nature ι:S:lexicon ω:L:nature η:L:line_final,Ἥβην τε χρυσοστέφανον καλήν τε Διώνην
Theogony,18,True,LLLSSLSSLSSLSSLL,LLLSSLSSLSSLSSLL,0.0,1,2,,η:L:nature ω:L:nature ι:L:unknown α:S:unknown ε:S:nature ο:L:position ε:S:nature ι:S:lexicon ε:L:position ο:S:nature ο:S:nature α:L:position υ:S:lexicon ο:S:nature η:L:nature η:L:line_final,Λητώ τ’ Ἰαπετόν τε ἰδὲ Κρόνον ἀγκυλομήτην
Theogony,19,True,LLLSSLSSLLLSSLL,LLLSSLSSLLLSSLL,0.0,1,0,,η:L:nature ω:L:nature η:L:nature ε:S:nature ι:S:lexicon ο:L:position ε:S:nature ε:S:nature α:L:lexicon α:L:position α:L:lexicon ε:S:nature ε:S:nature η:L:nature η:L:line_final,Ἠῶ τ’ Ἠέλιόν τε μέγαν λαμπράν τε Σελήνην
Theogony,20,True,LLLSSLSSLLLSSLL,LLLSSLSSLLLSSLL,0.0,1,0,,αι:L:nature α:L:lexicon ω:L:nature ε:S:nature α:S:lexicon ο:L:position ε:S:nature ε:S:nature α:L:lexicon αι:L:nature υ:L:paroxytone_short_ultima α:S:lexicon ε:S:nature αι:L:nature α:L:lexicon,Γαῖάν τ’ Ὠκεανόν τε μέγαν καὶ Νύκτα μέλαιναν
Theogony,21,True,LLLSSLSSLSSLSSLL,LLLSSLSSLSSLSSLL,1.0,1,0,lexicon_overridden,α:L:position ω:L:nature+position α:L:lexicon α:S:lexicon α:S:lexicon ω:L:nature ι:S:lexicon ε:S:nature ο:L:position ε:S:nature ο:S:nature αι:L:nature ε:S:nature ε:S:nature ο:L:position ω:L:line_final,ἄλλων τ’ ἀθανάτων ἱερὸν γένος αἰὲν ἐόντων.
Theogony,22,True,LSSLSSLLLSSLSSLL,LSSLSSLLLSSLSSLL,0.0,1,1,,αι:L:nature υ:S:lexicon ο:S:nature η:L:nature ι:S:unknown ο:S:nature ο:L:position α:L:lexicon η:L:nature ε:S:nature ι:S:lexicon α:L:position α:S:lexicon α:S:lexicon οι:L:nature η:L:line_final,"αἵ νύ ποθ’ Ἡσίοδον καλὴν ἐδίδαξαν ἀοιδήν,"
Theogony,23,True,LLLLLSSLSSLSSLL,LLLLLSSLSSLSSLL,0.0,1,1,,α:L:paroxytone_short_ultima α:L:lexicon οι:L:nature αι:L:nature ο:L:position ε:S:nature ι:S:unknown ω:L:nature ο:S:nature υ:S:lexicon ο:L:position α:S:lexicon ε:S:nature οι:L:nature ο:L:line_final,ἄρνας ποιμαίνονθ’ Ἑλικῶνος ὕπο ζαθέοιο.
Theogony,24,True,LSSLLLSSLLLSSLL,LSSLLLSSLLLSSLL,0.0,1,0,,ο:L:position ε:S:nature ε:S:nature ε:L:position ω:L:nature ι:L:position α:S:lexicon ε:S:nature αι:L:nature+position ο:L:position υ:L:lexicon ο:S:nature ε:S:nature ει:L:nature ο:L:line_final,"τόνδε δέ με πρώτιστα θεαὶ πρὸς μῦθον ἔειπον,"
Theogony,25,True,LSSLSSLLLSSLSSLL,LSSLSSLLLSSLSSLL,0.5,1,0,correption,ου:L:nature αι:S:nature ο:S:nature υ:L:position ι:S:lexicon α:S:lexicon ε:L:position ου:L:nature αι:L:nature ι:S:lexicon ο:S:nature αι:L:nature ι:S:lexicon ο:S:nature οι:L:nature ο:L:line_final,"Μοῦσαι Ὀλυμπιάδες, κοῦραι Διὸς αἰγιόχοιο·"
Theogony,26,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.0,1,0,,οι:L:nature ε:S:nature ε:S:nature α:L:position αυ:L:nature οι:L:nature α:S:lexicon ε:S:nature ε:L:position ε:S:nature α:S:lexicon α:L:position ε:S:nature ε:S:nature οι:L:nature ο:L:line_final,"ποιμένες ἄγραυλοι, κάκ’ ἐλέγχεα, γαστέρες οἶον,"
Theogony,27,True,LLLSSLSSLSSLSSLL,LLLSSLSSLSSLSSLL,0.0,1,0,,ι:L:lexicon ε:L:position ευ:L:nature ε:S:nature α:S:lexicon ο:L:position α:S:lexicon ε:S:nature ει:L:nature ε:S:nature υ:S:lexicon οι:L:nature ι:S:lexicon ο:S:nature οι:L:nature α:L:lexicon,"ἴδμεν ψεύδεα πολλὰ λέγειν ἐτύμοισιν ὁμοῖα,"
Theogony,28,True,LLLSSLSSLSSLLLL,LLLSSLSSLSSLLLL,1.5,1,1,,ι:L:lexicon ε:L:position ευ:L:nature ε:S:nature ε:S:nature ω:L:nature ε:S:nature α:S:lexicon η:L:nature ε:S:nature α:S:lexicon η:L:nature υ:L:unknown α:L:position αι:L:line_final,"ἴδμεν δ’, εὖτ’ ἐθέλωμεν, ἀληθέα γηρύσασθαι."
Theogony,29,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.0,1,0,,ω:L:nature ε:S:nature α:S:lexicon α:L:lexicon ου:L:nature αι:L:nature ε:S:nature α:S:lexicon ου:L:nature ι:S:lexicon ο:S:nature α:L:position ι:S:lexicon ε:S:nature ει:L:nature αι:L:line_final,ὣς ἔφασαν κοῦραι μεγάλου Διὸς ἀρτιέπειαι·
Theogony,30,True,LLLSSLLLSSLSSLL,LLLSSLLLSSLSSLL,0.0,1,0,,αι:L:nature οι:L:nature+position η:L:nature+position ο:S:nature ε:S:nature ο:L:position α:L:position η:L:nature ε:S:nature ι:S:lexicon η:L:nature ε:S:nature ο:S:nature ο:L:position ο:L:line_final,καί μοι σκῆπτρον ἔδον δάφνης ἐριθηλέος ὄζον
Theogony,31,True,LLLLLSSLLLSSLL,LLLLLSSLLLSSLL,0.5,1,0,correption,ε:L:position α:L:lexicon αι:L:nature η:L:nature η:L:nature ο:S:nature ε:S:nature ε:L:position ευ:L:nature α:L:lexicon ε:S:nature οι:S:nature αυ:L:nature η:L:line_final,"δρέψασαι, θηητόν· ἐνέπνευσαν δέ μοι αὐδὴν"
Theogony,32,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.0,1,0,,ε:L:position ι:S:lexicon ι:S:lexicon α:L:lexicon ει:L:nature οι:L:nature ι:S:lexicon α:S:lexicon ε:L:position ο:S:nature ε:S:nature α:L:antepenult_accent ο:S:nature ε:S:nature ο:L:position α:L:lexicon,"θέσπιν, ἵνα κλείοιμι τά τ’ ἐσσόμενα πρό τ’ ἐόντα."
Theogony,33,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.0,1,0,,αι:L:nature ε:S:nature ε:S:nature ο:L:position υ:L:position ει:L:nature+position α:S:lexicon α:S:lexicon ω:L:nature+position ε:S:nature ο:S:nature αι:L:nature ε:S:nature ε:S:nature ο:L:position ω:L:line_final,"καί μ’ ἐκέλονθ’ ὑμνεῖν μακάρων γένος αἰὲν ἐόντων,"
Theogony,34,True,LLLLLSSLSSLSSLL,LLLLLSSLSSLSSLL,0.5,1,0,correption,α:L:lexicon αυ:L:nature α:L:lexicon ω:L:nature ο:L:position ε:S:nature αι:S:nature υ:L:position α:S:lexicon ο:S:nature αι:L:nature ε:S:nature α:S:lexicon ει:L:nature ει:L:line_final,σφᾶς δ’ αὐτὰς πρῶτόν τε καὶ ὕστατον αἰὲν ἀείδειν.
Theogony,35,True,LSSLLLSSLLLSSLL,LSSLLLSSLLLSSLL,1.0,1,0,lexicon_overridden,α:L:position α:S:lexicon ι:S:lexicon η:L:nature οι:L:nature αυ:L:nature α:S:lexicon ε:S:nature ι:L:lexicon υ:L:lexicon η:L:nature ε:S:nature ι:S:lexicon ε:L:position η:L:line_final,ἀλλὰ τί ἦ μοι ταῦτα περὶ δρῦν ἢ περὶ πέτρην;
Theogony,36,True,LLLLLLLSSLSSLL,LLLLLLLSSLSSLL,0.0,1,0,,υ:L:lexicon η:L:nature ου:L:nature α:L:lexicon ω:L:nature α:L:position ω:L:nature ε:S:nature α:S:lexicon αι:L:nature ι:S:lexicon ι:S:lexicon α:L:lexicon ι:L:lexicon,"τύνη, Μουσάων ἀρχώμεθα, ταὶ Διὶ πατρὶ"
Theogony,37,True,LLLLLSSLSSLSSLL,LLLLLSSLSSLSSLL,0.0,1,0,,υ:L:position ευ:L:nature αι:L:nature ε:L:position ου:L:nature ι:S:lexicon ε:S:nature α:L:lexicon ο:S:nature ο:S:nature ε:L:position ο:S:nature ο:S:nature υ:L:position ου:L:line_final,"ὑμνεῦσαι τέρπουσι μέγαν νόον ἐντὸς Ὀλύμπου,"
Theogony,38,True,LLLSSLSSLSSLSSLL,LLLSSLSSLSSLSSLL,0.0,1,0,,ει:L:nature ευ:L:nature αι:L:nature α:S:lexicon ε:S:nature ο:L:position α:S:lexicon α:S:lexicon ε:L:position ο:S:nature ε:S:nature α:L:antepenult_accent ο:S:nature ε:S:nature ο:L:position α:L:lexicon,"εἰρεῦσαι τά τ’ ἐόντα τά τ’ ἐσσόμενα πρό τ’ ἐόντα,"
Theogony,39,True,LSSLLLLLSSLSSLL,LSSLLLLLSSLSSLL,1.0,1,0,correption,ω:L:nature η:S:nature ο:S:nature η:L:nature ευ:L:nature αι:L:nature ω:L:nature+position α:L:lexicon α:S:lexicon α:S:lexicon ο:L:position ε:S:nature ει:S:nature αυ:L:nature η:L:line_final,φωνῇ ὁμηρεῦσαι· τῶν δ’ ἀκάματος ῥέει αὐδὴ
Theogony,40,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.0,1,0,,ε:L:position ο:S:nature α:S:lexicon ω:L:nature η:L:nature ει:L:nature α:S:lexicon ε:S:nature α:L:nature ε:S:nature ε:S:nature ω:L:nature α:S:lexicon α:S:lexicon α:L:lexicon ο:L:line_final,ἐκ στομάτων ἡδεῖα· γελᾷ δέ τε δώματα πατρὸς
Theogony,41,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.0,1,0,,η:L:nature ο:S:nature ε:S:nature ι:L:position ου:L:nature οι:L:nature ο:S:nature ε:S:nature α:L:lexicon ο:S:nature ι:S:lexicon ει:L:nature ι:S:lexicon ο:S:nature ε:L:position η:L:line_final,Ζηνὸς ἐριγδούποιο θεᾶν ὀπὶ λειριοέσσῃ
Theogony,42,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.0,1,0,,ι:L:position α:S:lexicon ε:S:nature η:L:nature η:L:nature ει:L:nature ε:S:nature α:S:lexicon η:L:nature ι:S:lexicon ο:S:nature ε:L:position ο:S:nature ο:S:nature υ:L:position ου:L:line_final,σκιδναμένῃ· ἠχεῖ δὲ κάρη νιφόεντος Ὀλύμπου
Theogony,43,True,LSSLSSLLLSSLSSLL,LSSLSSLLLSSLSSLL,1.0,1,0,lexicon_overridden,ω:L:nature α:S:lexicon α:S:lexicon α:L:lexicon α:S:lexicon α:S:lexicon ω:L:nature αι:L:nature α:L:position ο:S:nature ο:S:nature ο:L:position α:S:lexicon ι:S:lexicon ει:L:nature αι:L:line_final,δώματά τ’ ἀθανάτων. αἳ δ’ ἄμβροτον ὄσσαν ἱεῖσαι
Theogony,44,True,LSSLLLLLLLSSLL,LSSLLLLLLLSSLL,2.0,1,0,synizesis;synizesis,εω:L:synizesis ε:S:nature ο:S:nature αι:L:nature οι:L:nature ο:L:position ω:L:nature ο:L:position ει:L:nature ου:L:nature ι:S:lexicon α:S:lexicon οι:L:nature η:L:line_final,θεῶν γένος αἰδοῖον πρῶτον κλείουσιν ἀοιδῇ
Theogony,45,True,LLLLLSSLSSLSSLL,LLLLLSSLSSLSSLL,0.5,1,0,correption,ε:L:position α:L:position η:L:nature ου:L:nature+position αι:L:nature α:S:lexicon αι:S:nature ου:L:nature α:S:lexicon ο:S:nature ευ:L:nature υ:S:lexicon ε:S:nature ι:L:position ε:L:line_final,"ἐξ ἀρχῆς, οὓς Γαῖα καὶ Οὐρανὸς εὐρὺς ἔτικτεν,"
Theogony,46,True,LLLSSLSSLLLSSLL,LLLSSLSSLLLSSLL,0.0,1,0,,οι:L:nature ε:L:position ω:L:nature ε:S:nature ε:S:nature ο:L:position ο:S:nature ε:S:nature οι:L:nature ω:L:nature η:L:nature ε:S:nature ε:S:nature α:L:lexicon ω:L:line_final,"οἵ τ’ ἐκ τῶν ἐγένοντο θεοί, δωτῆρες ἐάων."
Theogony,47,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.5,1,0,correption,ευ:L:nature ε:S:nature ο:S:nature αυ:L:nature ε:L:position η:L:nature α:S:lexicon ε:S:nature ω:L:nature+position α:S:lexicon ε:S:nature η:L:nature ε:S:nature αι:S:nature α:L:lexicon ω:L:line_final,"δεύτερον αὖτε Ζῆνα, θεῶν πατέρ’ ἠδὲ καὶ ἀνδρῶν,"
Theogony,48,True,LSSLLLSSLLLSSLL,LSSLLLSSLLLSSLL,2.0,1,0,correption,α:L:position ο:S:nature ε:S:nature αι:L:nature υ:L:position ευ:L:nature ι:S:lexicon αι:S:nature ε:L:position η:L:nature ου:L:nature αι:S:nature α:S:lexicon οι:L:nature η:L:line_final,"ἀρχόμεναί θ’ ὑμνεῦσι καὶ ἐκλήγουσαι ἀοιδῆς,"
Theogony,49,True,LLLSSLSSLLLSSLL,LLLSSLSSLLLSSLL,1.0,1,0,lexicon_overridden,ο:L:position ο:L:position ε:L:position α:S:lexicon ο:S:nature ε:L:position ι:S:lexicon ε:S:nature ω:L:nature+position α:L:lexicon ει:L:nature ε:S:nature ε:S:nature ι:L:position ο:L:line_final,ὅσσον φέρτατός ἐστι θεῶν κράτεί τε μέγιστος.
Theogony,50,True,LLLLLSSLSSLSSLL,LLLLLSSLSSLSSLL,0.0,1,1,,αυ:L:nature ι:L:lexicon α:L:position ω:L:nature ω:L:nature+position ε:S:nature ε:S:nature ο:L:position α:S:lexicon ε:S:nature ω:L:nature+position ε:S:nature ι:S:unknown α:L:position ω:L:line_final,αὖτις δ’ ἀνθρώπων τε γένος κρατερῶν τε Γιγάντων
Theogony,51,True,LLLLLSSLSSLSSLL,LLLLLSSLSSLSSLL,0.0,1,0,,υ:L:position ευ:L:nature αι:L:nature ε:L:position ου:L:nature ι:S:lexicon ι:S:lexicon ο:L:position ο:S:nature ο:S:nature ε:L:position ο:S:nature ο:S:nature υ:L:position ου:L:line_final,ὑμνεῦσαι τέρπουσι Διὸς νόον ἐντὸς Ὀλύμπου
Theogony,52,True,LSSLSSLLLSSLSSLL,LSSLSSLLLSSLSSLL,0.5,1,0,correption,ου:L:nature αι:S:nature ο:S:nature υ:L:position ι:S:lexicon α:S:lexicon ε:L:position ου:L:nature αι:L:nature ι:S:lexicon ο:S:nature αι:L:nature ι:S:lexicon ο:S:nature οι:L:nature ο:L:line_final,"Μοῦσαι Ὀλυμπιάδες, κοῦραι Διὸς αἰγιόχοιο."
Theogony,53,True,LLLSSLSSLSSLSSLL,LLLSSLSSLSSLSSLL,0.0,1,0,,α:L:lexicon ε:L:position ι:L:lexicon ε:S:nature ι:S:lexicon η:L:nature+position ο:S:nature ι:S:lexicon η:L:nature ε:S:nature ε:S:nature α:L:lexicon ι:S:lexicon ι:S:lexicon ει:L:nature α:L:lexicon,τὰς ἐν Πιερίῃ Κρονίδῃ τέκε πατρὶ μιγεῖσα
Theogony,54,True,LSSLLLSSLLLSSLL,LSSLLLSSLLLSSLL,0.0,1,0,,η:L:nature ο:S:nature υ:S:lexicon η:L:nature ου:L:nature οι:L:nature ι:S:lexicon ε:S:nature ευ:L:nature η:L:nature ο:L:position ε:S:nature ε:S:nature ου:L:nature α:L:lexicon,"Μνημοσύνη, γουνοῖσιν Ἐλευθῆρος μεδέουσα,"
Theogony,55,True,LSSLSSLLLSSLLLL,LSSLSSLLLSSLLLL,1.5,1,0,,η:L:nature+position ο:S:nature υ:S:lexicon η:L:nature+position ε:S:nature α:S:lexicon ω:L:nature α:L:position αυ:L:nature α:S:lexicon ε:S:nature ε:L:position η:L:nature α:L:lexicon ω:L:line_final,λησμοσύνην τε κακῶν ἄμπαυμά τε μερμηράων.
Theogony,56,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,0.0,1,0,,ε:L:position ε:S:nature α:S:lexicon α:L:lexicon οι:L:nature υ:L:position ο:S:nature ε:S:nature ι:L:lexicon ε:S:nature ο:S:nature η:L:nature ι:S:lexicon ε:S:nature α:L:lexicon ευ:L:line_final,ἐννέα γάρ οἱ νυκτὸς ἐμίσγετο μητίετα Ζεὺς
Theogony,57,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,1.0,1,0,lexicon_overridden,ο:L:position ι:S:lexicon α:S:lexicon α:L:lexicon α:S:lexicon α:S:lexicon ω:L:nature ι:S:lexicon ε:S:nature ο:L:position ε:S:nature ο:S:nature ει:L:nature α:S:lexicon α:S:lexicon αι:L:nature ω:L:line_final,νόσφιν ἀπ’ ἀθανάτων ἱερὸν λέχος εἰσαναβαίνων·
Theogony,58,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,0.0,1,0,,α:L:position ο:S:nature ε:S:nature η:L:nature ε:S:nature ι:S:lexicon αυ:L:nature ο:S:nature ε:S:nature η:L:nature+position ε:S:nature ι:S:lexicon ε:L:position α:S:lexicon ο:S:nature ω:L:nature αι:L:line_final,"ἀλλ’ ὅτε δή ῥ’ ἐνιαυτὸς ἔην, περὶ δ’ ἔτραπον ὧραι"
Theogony,59,True,LLLLLSSLSSLSSLL,LLLLLSSLSSLSSLL,0.0,1,1,,η:L:nature ω:L:nature+position ι:L:unknown ο:L:position ω:L:nature+position ε:S:nature ι:S:lexicon η:L:nature α:S:lexicon α:S:lexicon ο:L:position ε:S:nature ε:S:nature ε:L:position η:L:line_final,"μηνῶν φθινόντων, περὶ δ’ ἤματα πόλλ’ ἐτελέσθη,"
Theogony,60,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,0.0,1,1,,η:L:nature ε:S:nature ε:S:nature ε:L:position ε:S:nature α:S:lexicon ου:L:nature α:S:unknown ο:S:nature ο:L:position ο:S:nature α:S:lexicon η:L:nature ι:S:lexicon α:S:lexicon οι:L:nature η:L:line_final,"ἣ δ’ ἔτεκ’ ἐννέα κούρας ὁμόφρονας, ᾗσιν ἀοιδὴ"
Theogony,61,True,LSSLLLSSLSSLSSLL,LSSLLLSSLSSLSSLL,1.5,1,0,correption,ε:L:position ε:S:nature αι:S:nature ε:L:position η:L:nature ε:L:position ι:S:lexicon α:S:lexicon η:L:nature ε:S:nature α:S:lexicon υ:L:lexicon ο:S:nature ε:S:nature ου:L:nature αι:L:line_final,"μέμβλεται ἐν στήθεσσιν, ἀκηδέα θυμὸν ἐχούσαις,"
Theogony,62,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,0.0,1,0,,υ:L:position ο:S:nature α:S:lexicon α:L:position ο:S:nature α:S:lexicon η:L:nature+position ο:S:nature υ:S:lexicon η:L:nature+position ι:S:lexicon ο:S:nature ε:L:position ο:S:nature ο:S:nature υ:L:position ου:L:line_final,τυτθὸν ἀπ’ ἀκροτάτης κορυφῆς νιφόεντος Ὀλύμπου.
Theogony,63,True,LLLSSLSSLLLSSLL,LLLSSLSSLLLSSLL,0.0,1,0,,ε:L:position α:L:lexicon ι:L:lexicon ι:S:lexicon α:S:lexicon οι:L:nature ε:S:nature ο:S:nature οι:L:nature αι:L:nature ω:L:nature α:S:lexicon α:S:lexicon α:L:lexicon α:L:lexicon,ἔνθα σφιν λιπαροί τε χοροὶ καὶ δώματα καλά.
Theogony,64,True,LLLSSLSSLSSLSSLL,LLLSSLSSLSSLSSLL,0.5,1,0,correption,α:L:lexicon αυ:L:nature η:L:nature+position α:S:lexicon ι:S:lexicon ε:L:position ε:S:nature αι:S:nature ι:L:lexicon ε:S:nature ο:S:nature οι:L:nature ι:S:lexicon ε:S:nature ου:L:nature ι:L:lexicon,πὰρ δ’ αὐτῇς Χάριτές τε καὶ Ἵμερος οἰκί’ ἔχουσιν
Theogony,65,True,LSSLSSLSSLSSLSSLL,LSSLSSLSSLSSLSSLL,1.0,1,0,lexicon_overridden,ε:L:position α:S:lexicon ι:S:lexicon η:L:nature ε:S:nature α:S:lexicon η:L:nature+position ε:S:nature ι:S:lexicon α:L:lexicon ο:S:nature α:S:lexicon ο:L:position α:S:lexicon ι:S:lexicon ει:L:nature αι:L:line_final,ἐν θαλίῃς· ἐρατὴν δὲ διὰ στόμα ὄσσαν ἱεῖσαι
Theogony,66,True,LLLLLSSLLLSSLL,LLLLLSSLLLSSLL,0.0,1,0,,ε:L:position ο:L:position αι:L:nature α:L:lexicon ω:L:nature+position ε:S:nature ο:S:nature ου:L:nature+position αι:L:nature η:L:nature ε:S:nature α:S:lexicon ε:L:position α:L:lexicon,μέλπονται πάντων τε νόμους καὶ ἤθεα κεδνὰ
