id,book,idx,perseus_n,status,reason,dur,lead,trail,speech,peak,trimmed_dur,text,text_scanned,wav,clean_wav,text_clean,split
b1_l11,1,11,11,ok,,5.944,0.180,1.444,4.320,-16.5,4.550,οὕνεκα τὸν Χρύσην ἠτίμασεν ἀρητῆρα,οὕνεκα τὸν Χρύσην ἠτίμασεν ἀρητῆρα,data/iliad/raw/Homer/Iliad/book_1/line_11.mp4,data/iliad/wavs/b1_l11.wav,οὕνεκα τὸν Χρύσην ἠτίμασεν ἀρητῆρα,test
b1_l12,1,12,12,ok,,5.944,0.060,1.224,4.660,-11.9,4.850,Ἀτρεΐδης· ὃ γὰρ ἦλθε θοὰς ἐπὶ νῆας Ἀχαιῶν,Ἀτρεΐδης· ὃ γὰρ ἦλθε θοὰς ἐπὶ νῆας Ἀχαιῶν,data/iliad/raw/Homer/Iliad/book_1/line_12.mp4,data/iliad/wavs/b1_l12.wav,Ἀτρεΐδης· ὃ γὰρ ἦλθε θοὰς ἐπὶ νῆας Ἀχαιῶν,test
b1_l13,1,13,13,ok,,5.944,0.020,0.744,5.180,-13.7,5.330,"λυσόμενός τε θύγατρα φέρων τ’ἀπερείσι’ ἄποινα,","λυσόμενός τε θύγατρα φέρων τ’ἀπερείσι’ ἄποινα,",data/iliad/raw/Homer/Iliad/book_1/line_13.mp4,data/iliad/wavs/b1_l13.wav,"λυσόμενός τε θύγατρα φέρων τ’ ἀπερείσι’ ἄποινα,",test
b1_l14,1,14,14,ok,,5.944,0.020,0.304,5.620,-13.7,5.730,στέμματ’ ἔχων ἐν χερσὶν ἑκηβόλου Ἀπόλλωνος,στέμματ’ ἔχων ἐν χερσὶν ἑκηβόλου Ἀπόλλωνος,data/iliad/raw/Homer/Iliad/book_1/line_14.mp4,data/iliad/wavs/b1_l14.wav,στέμματ’ ἔχων ἐν χερσὶν ἑκηβόλου Ἀπόλλωνος,test
b1_l15,1,15,15,ok,,5.944,0.080,0.264,5.600,-11.6,5.810,"χρυσέῳ ἀνὰ σκήπτρῳ, καὶ λίσσετο πάντας Ἀχαιούς,","χρυσέῳ ἀνὰ σκήπτρῳ, καὶ λίσσετο πάντας Ἀχαιούς,",data/iliad/raw/Homer/Iliad/book_1/line_15.mp4,data/iliad/wavs/b1_l15.wav,"χρυσέῳ ἀνὰ σκήπτρῳ, καὶ λίσσετο πάντας Ἀχαιούς,",test
b1_l16,1,16,16,ok,,5.944,0.080,1.044,4.820,-15.8,4.890,"Ἀτρεΐδα δὲ μάλιστα δύω, κοσμήτορε λαῶν·","Ἀτρεΐδα δὲ μάλιστα δύω, κοσμήτορε λαῶν·",data/iliad/raw/Homer/Iliad/book_1/line_16.mp4,data/iliad/wavs/b1_l16.wav,"Ἀτρεΐδα δὲ μάλιστα δύω, κοσμήτορε λαῶν·",test
b1_l17,1,17,17,ok,,6.687,0.180,1.567,4.940,-9.2,5.170,"Ἀτρεΐδαι τε καὶ ἄλλοι ἐϋκνήμιδες Ἀχαιοί,","Ἀτρεΐδαι τε καὶ ἄλλοι ἐϋκνήμιδες Ἀχαιοί,",data/iliad/raw/Homer/Iliad/book_1/line_17.mp4,data/iliad/wavs/b1_l17.wav,"Ἀτρεΐδαι τε καὶ ἄλλοι ἐϋκνήμιδες Ἀχαιοί,",test
b1_l18,1,18,18,ok,,6.595,0.160,0.375,6.060,-14.3,6.290,ὑμῖν μὲν θεοὶ δοῖεν Ὀλύμπια δώματ’ ἔχοντες,ὑμῖν μὲν θεοὶ δοῖεν Ὀλύμπια δώματ’ ἔχοντες,data/iliad/raw/Homer/Iliad/book_1/line_18.mp4,data/iliad/wavs/b1_l18.wav,ὑμῖν μὲν θεοὶ δοῖεν Ὀλύμπια δώματ’ ἔχοντες,test
b1_l19,1,19,19,ok,,6.595,0.120,1.375,5.100,-12.0,5.330,"ἐκπέρσαι Πριάμοιο πόλιν, εὖ δ’οἴκαδ’ ἱκέσθαι·","ἐκπέρσαι Πριάμοιο πόλιν, εὖ δ’οἴκαδ’ ἱκέσθαι·",data/iliad/raw/Homer/Iliad/book_1/line_19.mp4,data/iliad/wavs/b1_l19.wav,"ἐκπέρσαι Πριάμοιο πόλιν, εὖ δ’ οἴκαδ’ ἱκέσθαι·",test
b1_l20,1,20,20,ok,,6.595,0.160,1.455,4.980,-12.1,5.150,"παῖδα δ’ἐμοὶ λύσαιτε φίλην, τὰ δ’ἄποινα δέχεσθαι,","παῖδα δ’ἐμοὶ λύσαιτε φίλην, τὰ δ’ἄποινα δέχεσθαι,",data/iliad/raw/Homer/Iliad/book_1/line_20.mp4,data/iliad/wavs/b1_l20.wav,"παῖδα δ’ ἐμοὶ λύσαιτε φίλην, τὰ δ’ ἄποινα δέχεσθαι,",test
b1_l21,1,21,21,ok,,6.595,0.020,0.734,5.840,-9.9,5.990,ἁζόμενοι Διὸς υἱὸν ἑκηβόλον Ἀπόλλωνα.,ἁζόμενοι Διὸς υἱὸν ἑκηβόλον Ἀπόλλωνα.,data/iliad/raw/Homer/Iliad/book_1/line_21.mp4,data/iliad/wavs/b1_l21.wav,ἁζόμενοι Διὸς υἱὸν ἑκηβόλον Ἀπόλλωνα.,test
b1_l22,1,22,22,ok,,6.037,0.020,1.377,4.640,-10.4,4.790,ἔνθ’ ἄλλοι μὲν πάντες ἐπευφήμησαν Ἀχαιοὶ,ἔνθ’ ἄλλοι μὲν πάντες ἐπευφήμησαν Ἀχαιοὶ,data/iliad/raw/Homer/Iliad/book_1/line_22.mp4,data/iliad/wavs/b1_l22.wav,ἔνθ’ ἄλλοι μὲν πάντες ἐπευφήμησαν Ἀχαιοὶ,test
b1_l23,1,23,23,ok,,5.944,0.100,0.684,5.160,-13.1,5.410,αἰδεῖσθαί θ’ἱερῆα καὶ ἀγλαὰ δέχθαι ἄποινα·,αἰδεῖσθαί θ’ἱερῆα καὶ ἀγλαὰ δέχθαι ἄποινα·,data/iliad/raw/Homer/Iliad/book_1/line_23.mp4,data/iliad/wavs/b1_l23.wav,αἰδεῖσθαί θ’ ἱερῆα καὶ ἀγλαὰ δέχθαι ἄποινα·,test
b1_l24,1,24,24,ok,,5.944,0.120,1.204,4.620,-14.7,4.830,"ἀλλ’ οὐκ Ἀτρεΐδῃ Ἀγαμέμνονι ἥνδανε θυμῷ,","ἀλλ’ οὐκ Ἀτρεΐδῃ Ἀγαμέμνονι ἥνδανε θυμῷ,",data/iliad/raw/Homer/Iliad/book_1/line_24.mp4,data/iliad/wavs/b1_l24.wav,"ἀλλ’ οὐκ Ἀτρεΐδῃ Ἀγαμέμνονι ἥνδανε θυμῷ,",test
b1_l25,1,25,25,ok,,5.944,0.140,0.704,5.100,-11.7,5.350,"ἀλλὰ κακῶς ἀφίει, κρατερὸν δ’ἐπὶ μῦθον ἔτελλε·","ἀλλὰ κακῶς ἀφίει, κρατερὸν δ’ἐπὶ μῦθον ἔτελλε·",data/iliad/raw/Homer/Iliad/book_1/line_25.mp4,data/iliad/wavs/b1_l25.wav,"ἀλλὰ κακῶς ἀφίει, κρατερὸν δ’ ἐπὶ μῦθον ἔτελλε·",test
b1_l26,1,26,26,ok,,5.666,0.000,1.246,4.420,-11.1,4.570,μή σε γέρον κοίλῃσιν ἐγὼ παρὰ νηυσὶ κιχείω,μή σε γέρον κοίλῃσιν ἐγὼ παρὰ νηυσὶ κιχείω,data/iliad/raw/Homer/Iliad/book_1/line_26.mp4,data/iliad/wavs/b1_l26.wav,μή σε γέρον κοίλῃσιν ἐγὼ παρὰ νηυσὶ κιχείω,test
b1_l27,1,27,27,ok,,5.666,0.140,0.766,4.760,-11.1,4.990,"ἢ νῦν δηθύνοντ’ ἢ ὕστερον αὖτις ἰόντα,","ἢ νῦν δηθύνοντ’ ἢ ὕστερον αὖτις ἰόντα,",data/iliad/raw/Homer/Iliad/book_1/line_27.mp4,data/iliad/wavs/b1_l27.wav,"ἢ νῦν δηθύνοντ’ ἢ ὕστερον αὖτις ἰόντα,",test
b1_l28,1,28,28,ok,,5.666,0.000,0.766,4.900,-12.8,5.030,μή νύ τοι οὐ χραίσμῃ σκῆπτρον καὶ στέμμα θεοῖο·,μή νύ τοι οὐ χραίσμῃ σκῆπτρον καὶ στέμμα θεοῖο·,data/iliad/raw/Homer/Iliad/book_1/line_28.mp4,data/iliad/wavs/b1_l28.wav,μή νύ τοι οὐ χραίσμῃ σκῆπτρον καὶ στέμμα θεοῖο·,test
b1_l29,1,29,29,ok,,5.666,0.040,0.466,5.160,-11.0,5.290,τὴν δ’ἐγὼ οὐ λύσω· πρίν μιν καὶ γῆρας ἔπεισιν,τὴν δ’ἐγὼ οὐ λύσω· πρίν μιν καὶ γῆρας ἔπεισιν,data/iliad/raw/Homer/Iliad/book_1/line_29.mp4,data/iliad/wavs/b1_l29.wav,τὴν δ’ ἐγὼ οὐ λύσω· πρίν μιν καὶ γῆρας ἔπεισιν,test
b1_l30,1,30,30,ok,,5.666,0.080,0.926,4.660,-10.0,4.870,ἡμετέρῳ ἐνὶ οἴκῳ ἐν Ἄργεϊ τηλόθι πάτρης,ἡμετέρῳ ἐνὶ οἴκῳ ἐν Ἄργεϊ τηλόθι πάτρης,data/iliad/raw/Homer/Iliad/book_1/line_30.mp4,data/iliad/wavs/b1_l30.wav,ἡμετέρῳ ἐνὶ οἴκῳ ἐν Ἄργεϊ τηλόθι πάτρης,test
b1_l31,1,31,31,ok,,5.666,0.080,0.526,5.060,-7.4,5.270,ἱστὸν ἐποιχομένην καὶ ἐμὸν λέχος ἀντιόωσαν·,ἱστὸν ἐποιχομένην καὶ ἐμὸν λέχος ἀντιόωσαν·,data/iliad/raw/Homer/Iliad/book_1/line_31.mp4,data/iliad/wavs/b1_l31.wav,ἱστὸν ἐποιχομένην καὶ ἐμὸν λέχος ἀντιόωσαν·,test
b1_l32,1,32,32,ok,,5.666,0.140,0.386,5.140,-9.2,5.370,ἀλλ’ ἴθι μή μ’ἐρέθιζε σαώτερος ὥς κε νέηαι.,ἀλλ’ ἴθι μή μ’ἐρέθιζε σαώτερος ὥς κε νέηαι.,data/iliad/raw/Homer/Iliad/book_1/line_32.mp4,data/iliad/wavs/b1_l32.wav,ἀλλ’ ἴθι μή μ’ ἐρέθιζε σαώτερος ὥς κε νέηαι.,test
b1_l33,1,33,33,ok,,5.944,0.140,1.444,4.360,-11.7,4.590,"ὣς ἔφατ’, ἔδεισεν δ’ὃ γέρων καὶ ἐπείθετο μύθῳ·","ὣς ἔφατ’, ἔδεισεν δ’ὃ γέρων καὶ ἐπείθετο μύθῳ·",data/iliad/raw/Homer/Iliad/book_1/line_33.mp4,data/iliad/wavs/b1_l33.wav,"ὣς ἔφατ’, ἔδεισεν δ’ ὃ γέρων καὶ ἐπείθετο μύθῳ·",test
b1_l34,1,34,34,ok,,5.944,0.020,1.324,4.600,-17.1,4.730,βῆ δ’ἀκέων παρὰ θῖνα πολυφλοίσβοιο θαλάσσης·,βῆ δ’ἀκέων παρὰ θῖνα πολυφλοίσβοιο θαλάσσης·,data/iliad/raw/Homer/Iliad/book_1/line_34.mp4,data/iliad/wavs/b1_l34.wav,βῆ δ’ ἀκέων παρὰ θῖνα πολυφλοίσβοιο θαλάσσης·,test
b1_l35,1,35,35,ok,,5.944,0.100,1.244,4.600,-14.0,4.810,πολλὰ δ’ἔπειτ’ ἀπάνευθε κιὼν ἠρᾶθ’ ὃ γεραιὸς,πολλὰ δ’ἔπειτ’ ἀπάνευθε κιὼν ἠρᾶθ’ ὃ γεραιὸς,data/iliad/raw/Homer/Iliad/book_1/line_35.mp4,data/iliad/wavs/b1_l35.wav,πολλὰ δ’ ἔπειτ’ ἀπάνευθε κιὼν ἠρᾶθ’ ὃ γεραιὸς,test
b1_l36,1,36,36,ok,,5.944,0.080,0.544,5.320,-10.4,5.530,"Ἀπόλλωνι ἄνακτι, τὸν ἠΰκομος τέκε Λητώ·","Ἀπόλλωνι ἄνακτι, τὸν ἠΰκομος τέκε Λητώ·",data/iliad/raw/Homer/Iliad/book_1/line_36.mp4,data/iliad/wavs/b1_l36.wav,"Ἀπόλλωνι ἄνακτι, τὸν ἠΰκομος τέκε Λητώ·",test
b1_l37,1,37,37,ok,,6.687,0.040,0.707,5.940,-11.6,6.110,"κλῦθί μευ ἀργυρότοξ’, ὃς Χρύσην ἀμφιβέβηκας","κλῦθί μευ ἀργυρότοξ’, ὃς Χρύσην ἀμφιβέβηκας",data/iliad/raw/Homer/Iliad/book_1/line_37.mp4,data/iliad/wavs/b1_l37.wav,"κλῦθί μευ ἀργυρότοξ’, ὃς Χρύσην ἀμφιβέβηκας",test
b1_l38,1,38,38,ok,,6.595,0.160,0.534,5.900,-11.4,6.130,"Κίλλάν τε ζαθέην Τενέδοιό τε ἶφι ἀνάσσεις,","Κίλλάν τε ζαθέην Τενέδοιό τε ἶφι ἀνάσσεις,",data/iliad/raw/Homer/Iliad/book_1/line_38.mp4,data/iliad/wavs/b1_l38.wav,"Κίλλάν τε ζαθέην Τενέδοιό τε ἶφι ἀνάσσεις,",test
b1_l39,1,39,39,ok,,6.595,0.020,1.534,5.040,-10.1,5.190,"Σμινθεῦ εἴ ποτέ τοι χαρίεντ’ ἐπὶ νηὸν ἔρεψα,","Σμινθεῦ εἴ ποτέ τοι χαρίεντ’ ἐπὶ νηὸν ἔρεψα,",data/iliad/raw/Homer/Iliad/book_1/line_39.mp4,data/iliad/wavs/b1_l39.wav,"Σμινθεῦ εἴ ποτέ τοι χαρίεντ’ ἐπὶ νηὸν ἔρεψα,",test
b1_l40,1,40,40,ok,,6.595,0.180,1.614,4.800,-9.9,5.030,ἢ εἰ δή ποτέ τοι κατὰ πίονα μηρί’ ἔκηα,ἢ εἰ δή ποτέ τοι κατὰ πίονα μηρί’ ἔκηα,data/iliad/raw/Homer/Iliad/book_1/line_40.mp4,data/iliad/wavs/b1_l40.wav,ἢ εἰ δή ποτέ τοι κατὰ πίονα μηρί’ ἔκηα,test
b1_l41,1,41,41,ok,,6.595,0.140,0.354,6.100,-9.4,6.290,"ταύρων ἠδ’ αἰγῶν, τὸ δέ μοι κρήηνον ἐέλδωρ·","ταύρων ἠδ’ αἰγῶν, τὸ δέ μοι κρήηνον ἐέλδωρ·",data/iliad/raw/Homer/Iliad/book_1/line_41.mp4,data/iliad/wavs/b1_l41.wav,"ταύρων ἠδ’ αἰγῶν, τὸ δέ μοι κρήηνον ἐέλδωρ·",test
b1_l42,1,42,42,ok,,6.595,0.160,0.514,5.920,-8.9,6.090,τίσειαν Δαναοὶ ἐμὰ δάκρυα σοῖσι βέλεσσιν.,τίσειαν Δαναοὶ ἐμὰ δάκρυα σοῖσι βέλεσσιν.,data/iliad/raw/Homer/Iliad/book_1/line_42.mp4,data/iliad/wavs/b1_l42.wav,τίσειαν Δαναοὶ ἐμὰ δάκρυα σοῖσι βέλεσσιν.,test
b1_l43,1,43,43,ok,,6.130,0.120,0.350,5.660,-9.4,5.910,"ὣς ἔφατ’ εὐχόμενος, τοῦ δ’ἔκλυε Φοῖβος Ἀπόλλων,","ὣς ἔφατ’ εὐχόμενος, τοῦ δ’ἔκλυε Φοῖβος Ἀπόλλων,",data/iliad/raw/Homer/Iliad/book_1/line_43.mp4,data/iliad/wavs/b1_l43.wav,"ὣς ἔφατ’ εὐχόμενος, τοῦ δ’ ἔκλυε Φοῖβος Ἀπόλλων,",test
b1_l44,1,44,44,ok,,5.944,0.020,1.104,4.820,-9.2,4.970,"βῆ δὲ κατ’ Οὐλύμποιο καρήνων χωόμενος κῆρ,","βῆ δὲ κατ’ Οὐλύμποιο καρήνων χωόμενος κῆρ,",data/iliad/raw/Homer/Iliad/book_1/line_44.mp4,data/iliad/wavs/b1_l44.wav,"βῆ δὲ κατ’ Οὐλύμποιο καρήνων χωόμενος κῆρ,",test
b1_l45,1,45,45,ok,,5.944,0.120,0.384,5.440,-9.0,5.650,τόξ’ ὤμοισιν ἔχων ἀμφηρεφέα τε φαρέτρην·,τόξ’ ὤμοισιν ἔχων ἀμφηρεφέα τε φαρέτρην·,data/iliad/raw/Homer/Iliad/book_1/line_45.mp4,data/iliad/wavs/b1_l45.wav,τόξ’ ὤμοισιν ἔχων ἀμφηρεφέα τε φαρέτρην·,test
b1_l46,1,46,46,ok,,5.944,0.140,1.344,4.460,-8.5,4.670,"ἔκλαγξαν δ’ἄρ’ ὀϊστοὶ ἐπ’ ὤμων χωομένοιο,","ἔκλαγξαν δ’ἄρ’ ὀϊστοὶ ἐπ’ ὤμων χωομένοιο,",data/iliad/raw/Homer/Iliad/book_1/line_46.mp4,data/iliad/wavs/b1_l46.wav,"ἔκλαγξαν δ’ ἄρ’ ὀϊστοὶ ἐπ’ ὤμων χωομένοιο,",test
b1_l47,1,47,47,ok,,5.944,0.100,0.324,5.520,-9.4,5.750,αὐτοῦ κινηθέντος· ὃ δ’ἤϊε νυκτὶ ἐοικώς.,αὐτοῦ κινηθέντος· ὃ δ’ἤϊε νυκτὶ ἐοικώς.,data/iliad/raw/Homer/Iliad/book_1/line_47.mp4,data/iliad/wavs/b1_l47.wav,αὐτοῦ κινηθέντος· ὃ δ’ ἤϊε νυκτὶ ἐοικώς.,test
b1_l48,1,48,48,ok,,5.944,0.140,1.504,4.300,-8.2,4.530,"ἕζετ’ ἔπειτ’ ἀπάνευθε νεῶν, μετὰ δ’ἰὸν ἕηκε·","ἕζετ’ ἔπειτ’ ἀπάνευθε νεῶν, μετὰ δ’ἰὸν ἕηκε·",data/iliad/raw/Homer/Iliad/book_1/line_48.mp4,data/iliad/wavs/b1_l48.wav,"ἕζετ’ ἔπειτ’ ἀπάνευθε νεῶν, μετὰ δ’ ἰὸν ἕηκε·",test
b1_l49,1,49,49,ok,,5.944,0.020,1.424,4.500,-7.0,4.670,δεινὴ δὲ κλαγγὴ γένετ’ ἀργυρέοιο βιοῖο·,δεινὴ δὲ κλαγγὴ γένετ’ ἀργυρέοιο βιοῖο·,data/iliad/raw/Homer/Iliad/book_1/line_49.mp4,data/iliad/wavs/b1_l49.wav,δεινὴ δὲ κλαγγὴ γένετ’ ἀργυρέοιο βιοῖο·,test
b1_l50,1,50,50,ok,,5.944,0.200,1.144,4.600,-8.2,4.810,"οὐρῆας μὲν πρῶτον ἐπῴχετο καὶ κύνας ἀργούς,","οὐρῆας μὲν πρῶτον ἐπῴχετο καὶ κύνας ἀργούς,",data/iliad/raw/Homer/Iliad/book_1/line_50.mp4,data/iliad/wavs/b1_l50.wav,"οὐρῆας μὲν πρῶτον ἐπῴχετο καὶ κύνας ἀργούς,",test
b1_l51,1,51,51,ok,,5.944,0.160,1.244,4.540,-9.7,4.790,αὐτὰρ ἔπειτ’ αὐτοῖσι βέλος ἐχεπευκὲς ἐφιεὶς,αὐτὰρ ἔπειτ’ αὐτοῖσι βέλος ἐχεπευκὲς ἐφιεὶς,data/iliad/raw/Homer/Iliad/book_1/line_51.mp4,data/iliad/wavs/b1_l51.wav,αὐτὰρ ἔπειτ’ αὐτοῖσι βέλος ἐχεπευκὲς ἐφιεὶς,test
b1_l52,1,52,52,ok,,5.944,0.020,1.144,4.780,-8.6,4.890,βάλλ’· αἰεὶ δὲ πυραὶ νεκύων καίοντο θαμειαί.,βάλλ’· αἰεὶ δὲ πυραὶ νεκύων καίοντο θαμειαί.,data/iliad/raw/Homer/Iliad/book_1/line_52.mp4,data/iliad/wavs/b1_l52.wav,βάλλ’· αἰεὶ δὲ πυραὶ νεκύων καίοντο θαμειαί.,test
b1_l53,1,53,53,ok,,5.944,0.180,1.404,4.360,-8.4,4.590,"ἐννῆμαρ μὲν ἀνὰ στρατὸν ᾤχετο κῆλα θεοῖο,","ἐννῆμαρ μὲν ἀνὰ στρατὸν ᾤχετο κῆλα θεοῖο,",data/iliad/raw/Homer/Iliad/book_1/line_53.mp4,data/iliad/wavs/b1_l53.wav,"ἐννῆμαρ μὲν ἀνὰ στρατὸν ᾤχετο κῆλα θεοῖο,",train
b1_l54,1,54,54,ok,,5.944,0.100,1.204,4.640,-9.8,4.870,τῇ δεκάτῃ δ’ἀγορὴν δὲ καλέσσατο λαὸν Ἀχιλλεύς·,τῇ δεκάτῃ δ’ἀγορὴν δὲ καλέσσατο λαὸν Ἀχιλλεύς·,data/iliad/raw/Homer/Iliad/book_1/line_54.mp4,data/iliad/wavs/b1_l54.wav,τῇ δεκάτῃ δ’ ἀγορὴν δὲ καλέσσατο λαὸν Ἀχιλλεύς·,train
b1_l55,1,55,55,ok,,5.944,0.180,0.384,5.380,-9.8,5.590,τῷ γὰρ ἐπὶ φρεσὶ θῆκε θεὰ λευκώλενος Ἥρη·,τῷ γὰρ ἐπὶ φρεσὶ θῆκε θεὰ λευκώλενος Ἥρη·,data/iliad/raw/Homer/Iliad/book_1/line_55.mp4,data/iliad/wavs/b1_l55.wav,τῷ γὰρ ἐπὶ φρεσὶ θῆκε θεὰ λευκώλενος Ἥρη·,train
b1_l56,1,56,56,ok,,5.944,0.080,0.724,5.140,-9.8,5.350,"κήδετο γὰρ Δαναῶν, ὅτι ῥα θνήσκοντας ὁρᾶτο.","κήδετο γὰρ Δαναῶν, ὅτι ῥα θνήσκοντας ὁρᾶτο.",data/iliad/raw/Homer/Iliad/book_1/line_56.mp4,data/iliad/wavs/b1_l56.wav,"κήδετο γὰρ Δαναῶν, ὅτι ῥα θνήσκοντας ὁρᾶτο.",train
b1_l57,1,57,57,ok,,5.944,0.200,1.424,4.320,-9.2,4.550,"οἳ δ’ἐπεὶ οὖν ἤγερθεν ὁμηγερέες τε γένοντο,","οἳ δ’ἐπεὶ οὖν ἤγερθεν ὁμηγερέες τε γένοντο,",data/iliad/raw/Homer/Iliad/book_1/line_57.mp4,data/iliad/wavs/b1_l57.wav,"οἳ δ’ ἐπεὶ οὖν ἤγερθεν ὁμηγερέες τε γένοντο,",train
b1_l58,1,58,58,ok,,5.944,0.180,1.184,4.580,-8.1,4.770,τοῖσι δ’ἀνιστάμενος μετέφη πόδας ὠκὺς Ἀχιλλεύς·,τοῖσι δ’ἀνιστάμενος μετέφη πόδας ὠκὺς Ἀχιλλεύς·,data/iliad/raw/Homer/Iliad/book_1/line_58.mp4,data/iliad/wavs/b1_l58.wav,τοῖσι δ’ ἀνιστάμενος μετέφη πόδας ὠκὺς Ἀχιλλεύς·,train
b1_l59,1,59,59,ok,,5.759,0.140,1.139,4.480,-13.1,4.710,Ἀτρεΐδη νῦν ἄμμε παλιμπλαγχθέντας ὀΐω,Ἀτρεΐδη νῦν ἄμμε παλιμπλαγχθέντας ὀΐω,data/iliad/raw/Homer/Iliad/book_1/line_59.mp4,data/iliad/wavs/b1_l59.wav,Ἀτρεΐδη νῦν ἄμμε παλιμπλαγχθέντας ὀΐω,train
b1_l60,1,60,60,ok,,5.666,0.100,0.446,5.120,-14.5,5.330,"ἂψ ἀπονοστήσειν, εἴ κεν θάνατόν γε φύγοιμεν,","ἂψ ἀπονοστήσειν, εἴ κεν θάνατόν γε φύγοιμεν,",data/iliad/raw/Homer/Iliad/book_1/line_60.mp4,data/iliad/wavs/b1_l60.wav,"ἂψ ἀπονοστήσειν, εἴ κεν θάνατόν γε φύγοιμεν,",train
