token,wordform,phones,count
αἴης_1,αἴης,ai ɛː s,7
αἴητον_1,αἴητον,ai ɛː t o n,1
αἴθε_1,αἴθε,ai tʰ e,1
αἴθη_1,αἴθη,ai tʰ ɛː,1
αἴθην_1,αἴθην,ai tʰ ɛː n,1
αἴθης_1,αἴθης,ai tʰ ɛː s,1
αἴθοπα_1,αἴθοπα,ai tʰ o p a,7
αἴθοπι_1,αἴθοπι,ai tʰ o p i,13
αἴθρη_1,αἴθρη,ai tʰ r ɛː,1
αἴθων_1,αἴθων,ai tʰ ɔː n,2
αἴθωνα_1,αἴθωνα,ai tʰ ɔː n aː,1
αἴθωνα_2,αἴθωνα,ai tʰ ɔː n a,1
αἴθωνας_1,αἴθωνας,ai tʰ ɔː n a z,3
αἴθωνας_2,αἴθωνας,ai tʰ ɔː n a s,1
αἴθωνες_1,αἴθωνες,ai tʰ ɔː n e z,2
αἴθωνι_1,αἴθωνι,ai tʰ ɔː n i,1
αἴθωνος_1,αἴθωνος,ai tʰ ɔː n o z,2
αἴθ’_1,αἴθ’,ai tʰ,7
αἴνεε_1,αἴνεε,ai n e e,1
αἴνιον_1,αἴνιον,ai n i o n,1
αἴνυτο_1,αἴνυτο,ai n y t o,4
αἴνυτ’_1,αἴνυτ’,ai n y t,1
αἴροντας_1,αἴροντας,ai r o n t a s,1
αἴσηπον_1,αἴσηπον,ai s ɛː p o n,1
αἴσηπος_1,αἴσηπος,ai s ɛː p o z,1
αἴσιμα_1,αἴσιμα,ai s i m a,3
αἴσιμον_1,αἴσιμον,ai s i m o n,5
αἴσιμόν_1,αἴσιμόν,ai s i m o n,1
αἴσιον_1,αἴσιον,ai s i o n,1
αἴσυλα_1,αἴσυλα,ai s y l a,3
αἴσυμνόν_1,αἴσυμνόν,ai s y m n o n,1
αἴσχεα_1,αἴσχεα,ai s kʰ e a,2
αἴσχεος_1,αἴσχεος,ai s kʰ e o s,1
αἴσχε’_1,αἴσχε’,ai s kʰ e,1
αἴσχιον_1,αἴσχιον,ai s kʰ i o n,1
αἴσχιστος_1,αἴσχιστος,ai s kʰ i s t o z,1
αἴσῃ_1,αἴσῃ,ai s ɛːi,11
αἴτει_1,αἴτει,ai t eː,1
αἴτιοί_1,αἴτιοί,ai t i oi,2
αἴτιοι_1,αἴτιοι,ai t i oi,1
αἴτιος_1,αἴτιος,ai t i o s,1
αἴτιός_1,αἴτιός,ai t i o s,3
αἵ_1,αἵ,h ai,29
αἵματί_1,αἵματί,h ai m a t i,1
αἵματι_1,αἵματι,h ai m a t i,16
αἵματος_1,αἵματος,h ai m a t o s,7
αἵματός_1,αἵματός,h ai m a t o s,1
αἵμονά_1,αἵμονά,h ai m o n a,1
αἵμονα_1,αἵμονα,h ai m o n a,1
αἶα_1,αἶα,ai a,1
αἶαν_1,αἶαν,ai a n,15
αἶαν_2,αἶαν,ai aː n,1
αἶγα_1,αἶγα,ai g a,3
αἶγας_1,αἶγας,ai g a s,1
αἶγες_1,αἶγες,ai g e s,2
αἶνον_1,αἶνον,ai n o n,1
αἶνος_1,αἶνος,ai n o s,1
αἶσα_1,αἶσα,ai s a,4
αἶσαν_1,αἶσαν,ai s a n,10
αἶψά_1,αἶψά,ai p s a,6
αἶψα_1,αἶψα,ai p s a,44
αἶψ’_1,αἶψ’,ai p s,5
αἷμά_1,αἷμά,h ai m a,1
αἷμα_1,αἷμα,h ai m a,22
αἷμα_2,αἷμα,h ai m aː,1
αἷμ’_1,αἷμ’,h ai m,9
αὐΐαχοι_1,αὐΐαχοι,au i a kʰ oi,1
αὐέρυσαν_1,αὐέρυσαν,au e r y s a n,2
αὐγάζομαι_1,αὐγάζομαι,au g a z d o m ai,1
αὐγάς_1,αὐγάς,au g a s,2
αὐγή_1,αὐγή,au g ɛː,1
αὐγαί_1,αὐγαί,au g ai,1
αὐγαὶ_1,αὐγαὶ,au g ai,1
αὐγείαο_1,αὐγείαο,au g eː aː o,1
αὐγείας_1,αὐγείας,au g eː aː s,1
αὐγειὰς_1,αὐγειὰς,au g eː aː s,2
αὐγηϊάδαο_1,αὐγηϊάδαο,au g ɛː i a d aː o,1
αὐγὴ_1,αὐγὴ,au g ɛː,1
αὐγῆς_1,αὐγῆς,au g ɛː s,1
αὐγῇ_1,αὐγῇ,au g ɛːi,2
αὐγῇς_1,αὐγῇς,au g ɛːi s,1
αὐδή_1,αὐδή,au d ɛː,1
αὐδήεντα_1,αὐδήεντα,au d ɛː e n t a,1
αὐδήν_1,αὐδήν,au d ɛː n,4
αὐδήσαντος_1,αὐδήσαντος,au d ɛː s a n t o s,2
αὐδήσασκεν_1,αὐδήσασκεν,au d ɛː s a s k e n,1
αὐδήσασχ’_1,αὐδήσασχ’,au d ɛː s a s kʰ,1
αὐδὴ_1,αὐδὴ,au d ɛː,1
αὐδὴν_1,αὐδὴν,au d ɛː n,1
αὐλίδα_1,αὐλίδα,au l i d a,2
αὐλοὶ_1,αὐλοὶ,au l oi,1
αὐλώπιδί_1,αὐλώπιδί,au l ɔː p i d i,1
αὐλὴν_1,αὐλὴν,au l ɛː n,2
αὐλὸν_1,αὐλὸν,au l o n,1
αὐλῆς_1,αὐλῆς,au l ɛː s,7
αὐλῇ_1,αὐλῇ,au l ɛːi,2
αὐλῶν_1,αὐλῶν,au l ɔː n,1
αὐλῶπις_1,αὐλῶπις,au l ɔː p i s,3
αὐτάρ_1,αὐτάρ,au t aː r,4
αὐτάρ_2,αὐτάρ,au t a r,1
αὐτάς_1,αὐτάς,au t aː s,2
αὐτάων_1,αὐτάων,au t aː ɔː n,6
αὐτέων_1,αὐτέων,au t e ɔː n,1
αὐτή_1,αὐτή,au t ɛː,3
αὐτήν_1,αὐτήν,au t ɛː n,6
αὐτίκα_1,αὐτίκα,au t i k a,58
αὐτίκα_2,αὐτίκα,au t iː k aː,1
αὐτίκ’_1,αὐτίκ’,au t i k,27
αὐτίχ’_1,αὐτίχ’,au t i kʰ,1
αὐταί_1,αὐταί,au t ai,1
αὐταὶ_1,αὐταὶ,au t ai,2
αὐτοί_1,αὐτοί,au t oi,14
αὐτοκασίγνητον_1,αὐτοκασίγνητον,au t o k a s i g n ɛː t o n,2
αὐτοκασίγνητος_1,αὐτοκασίγνητος,au t o k a s i g n ɛː t o z,1
αὐτοκασίγνητος_2,αὐτοκασίγνητος,au t o k a s i g n ɛː t o s,2
αὐτοκασιγνήτω_1,αὐτοκασιγνήτω,au t o k a s i g n ɛː t ɔː,1
αὐτομέδοντα_1,αὐτομέδοντα,au t o m e d o n t a,3
αὐτομέδοντι_1,αὐτομέδοντι,au t o m e d o n t i,2
αὐτομέδοντος_1,αὐτομέδοντος,au t o m e d o n t o s,1
αὐτομέδων_1,αὐτομέδων,au t o m e d ɔː n,13
αὐτονυχὶ_1,αὐτονυχὶ,au t o n y kʰ iː,1
αὐτοσχεδίην_1,αὐτοσχεδίην,au t o s kʰ e d i ɛː n,2
αὐτοσχεδίῃ_1,αὐτοσχεδίῃ,au t o s kʰ e d i ɛːi,1
αὐτοσχεδόν_1,αὐτοσχεδόν,au t o s kʰ e d o n,2
αὐτοσχεδὸν_1,αὐτοσχεδὸν,au t o s kʰ e d o n,5
αὐτοχόωνον_1,αὐτοχόωνον,au t o kʰ o ɔː n o n,1
αὐτούς_1,αὐτούς,au t uː s,6
αὐτοὶ_1,αὐτοὶ,au t oi,29
αὐτοὺς_1,αὐτοὺς,au t uː s,13
αὐτοὺς_2,αὐτοὺς,au t uː z,1
αὐτοῖο_1,αὐτοῖο,au t oi o,6
αὐτοῖς_1,αὐτοῖς,au t oi s,2
αὐτοῖσι_1,αὐτοῖσι,au t oi s i,2
αὐτοῖσιν_1,αὐτοῖσιν,au t oi s i n,4
αὐτοῦ_1,αὐτοῦ,au t uː,63
αὐτόθεν_1,αὐτόθεν,au t o tʰ e n,2
αὐτόθι_1,αὐτόθι,au t o tʰ i,12
αὐτόθ’_1,αὐτόθ’,au t o tʰ,4
αὐτόλυκος_1,αὐτόλυκος,au t o l y k o s,1
αὐτόμαται_1,αὐτόμαται,au t o m a t ai,2
αὐτόματοι_1,αὐτόματοι,au t o m a t oi,1
αὐτόματος_1,αὐτόματος,au t o m a t o z,1
αὐτόμεδον_1,αὐτόμεδον,au t o m e d o n,1
αὐτόν_1,αὐτόν,au t o n,13
αὐτόνοον_1,αὐτόνοον,au t o n o o n,2
αὐτός_1,αὐτός,au t o s,14
αὐτός_2,αὐτός,au t o z,2
αὐτόφι_1,αὐτόφι,au t o pʰ i,1
αὐτόφιν_1,αὐτόφιν,au t o pʰ i n,2
αὐτώ_1,αὐτώ,au t ɔː,6
αὐτὰ_1,αὐτὰ,au t a,1
αὐτὰρ_1,αὐτὰρ,au t a r,355
αὐτὰς_1,αὐτὰς,au t aː z,2
αὐτὰς_2,αὐτὰς,au t aː s,2
αὐτὴ_1,αὐτὴ,au t ɛː,12
αὐτὴν_1,αὐτὴν,au t ɛː n,8
αὐτὸν_1,αὐτὸν,au t o n,38
αὐτὸς_1,αὐτὸς,au t o s,85
αὐτὸς_2,αὐτὸς,au t o z,46
αὐτὼ_1,αὐτὼ,au t ɔː,4
αὐτῆμαρ_1,αὐτῆμαρ,au t ɛː m a r,2
αὐτῆς_1,αὐτῆς,au t ɛː s,14
αὐτῇ_1,αὐτῇ,au t ɛːi,21
αὐτῶν_1,αὐτῶν,au t ɔː n,25
αὐτῷ_1,αὐτῷ,au t ɔːi,86
αὐχένα_1,αὐχένα,au kʰ e n a,14
αὐχένι_1,αὐχένι,au kʰ e n i,3
αὐχένος_1,αὐχένος,au kʰ e n o s,4
αὐχέν’_1,αὐχέν’,au kʰ e n,7
αὔας_1,αὔας,au aː s,1
αὔδα_1,αὔδα,au d a,2
αὔριον_1,αὔριον,au r i o n,6
αὔτως_1,αὔτως,au t ɔː s,27
αὔτως_2,αὔτως,au t ɔː z,2
αὔῃσι_1,αὔῃσι,au ɛːi s i,1
αὖ_1,αὖ,au,42
αὖε_1,αὖε,au e,4
αὖθι_1,αὖθι,au tʰ i,31
αὖθ’_1,αὖθ’,au tʰ,13
αὖλιν_1,αὖλιν,au l i n,1
αὖον_1,αὖον,au o n,2
αὖτέ_1,αὖτέ,au t e,7
αὖτε_1,αὖτε,au t e,38
αὖτις_1,αὖτις,au t i s,57
αὖτις_2,αὖτις,au t i z,10
αὖτ’_1,αὖτ’,au t,42
βάδην_1,βάδην,b a d ɛː n,1
βάζειν_1,βάζειν,b a z d eː n,1
βάζεις_1,βάζεις,b a z d eː s,2
βάθιστον_1,βάθιστον,b a tʰ i s t o n,1
βάθυνε_1,βάθυνε,b a tʰ yː n e,1
βάλε_1,βάλε,b a l e,62
βάλεν_1,βάλεν,b a l e n,27
βάλες_1,βάλες,b a l e s,2
βάλετο_1,βάλετο,b a l e t o,5
βάλετ’_1,βάλετ’,b a l e t,1
βάλλε_1,βάλλε,b a l l e,2
βάλλεαι_1,βάλλεαι,b a l l e ai,2
βάλλει_1,βάλλει,b a l l eː,3
βάλλειν_1,βάλλειν,b a l l eː n,1
βάλλεν_1,βάλλεν,b a l l e n,1
βάλλεο_1,βάλλεο,b a l l e o,7
βάλλετε_1,βάλλετε,b a l l e t e,1
βάλλετο_1,βάλλετο,b a l l e t o,2
βάλλετ’_1,βάλλετ’,b a l l e t,1
βάλλον_1,βάλλον,b a l l o n,6
βάλλονθ’_1,βάλλονθ’,b a l l o n tʰ,1
βάλλονται_1,βάλλονται,b a l l o n t ai,1
βάλλοντες_1,βάλλοντες,b a l l o n t e s,2
βάλλοντες_2,βάλλοντες,b a l l o n t e z,1
βάλλων_1,βάλλων,b a l l ɔː n,2
βάλλ’_1,βάλλ’,b a l l,1
βάλοι_1,βάλοι,b a l oi,1
βάλοιμι_1,βάλοιμι,b a l oi m i,1
βάλοισθα_1,βάλοισθα,b a l oi s tʰ a,1
βάλον_1,βάλον,b a l o n,4
βάλω_1,βάλω,b a l ɔː,2
βάλωμεν_1,βάλωμεν,b a l ɔː m e n,1
βάλῃ_1,βάλῃ,b a l ɛːi,3
βάλῃσι_1,βάλῃσι,b a l ɛːi s i,1
βάλῃσιν_1,βάλῃσιν,b a l ɛːi s i n,1
βάλ’_1,βάλ’,b a l,11
βάν_1,βάν,b a n,4
βάντες_1,βάντες,b a n t e s,3
βάρδιστοι_1,βάρδιστοι,b a r d i s t oi,2
βάρυνε_1,βάρυνε,b a r yː n e,1
βάσκ’_1,βάσκ’,b a s k,6
βάτην_1,βάτην,b a t ɛː n,7
βέβασαν_1,βέβασαν,b e b a s a n,1
βέβηκας_1,βέβηκας,b e b ɛː k a s,1
βέβηκε_1,βέβηκε,b e b ɛː k e,1
βέβληαι_1,βέβληαι,b e b l ɛː ai,3
βέβληται_1,βέβληται,b e b l ɛː t ai,5
βέβριθε_1,βέβριθε,b e b r iː tʰ e,1
βέβρυχεν_1,βέβρυχεν,b e b r yː kʰ e n,1
βέλεα_1,βέλεα,b e l e aː,5
βέλεμνα_1,βέλεμνα,b e l e m n a,3
