word,nucleus,length
βασιλεύτατός,3,S
βασιλεύτερός,0,S
βασιλεύτερός,1,S
βασιλεὺς,0,S
βασιλεὺς,1,S
βασιλεῦσι,0,S
βασιλεῦσι,1,S
βασιλεῦσιν,0,S
βασιλεῦσιν,1,S
βασιλεῦσιν,3,S
βασιληΐδος,0,S
βασιληΐδος,1,S
βασιληΐδος,3,S
βασιλῆα,0,S
βασιλῆα,1,S
βασιλῆα,3,S
βασιλῆας,0,S
βασιλῆας,1,S
βασιλῆας,3,S
βασιλῆες,0,S
βασιλῆες,1,S
βασιλῆος,0,S
βασιλῆος,1,S
βασιλῆϊ,0,S
βασιλῆϊ,1,S
βασιλῆϊ,3,S
βατίειαν,0,S
βατίειαν,1,S
βεβάασι,1,S
βεβάασι,2,L
βεβάασι,3,S
βεβάμεν,1,S
βεβίηκεν,1,S
βεβαώς,1,S
βεβλήαται,2,S
βεβλήατο,2,S
βεβολήατο,3,S
βεβριθυῖα,1,L
βεβρυχὼς,1,L
βελέεσσι,3,S
βιάζεται,0,S
βιάζετο,0,S
βιάνορα,0,S
βιάνορα,1,L
βιάνορα,3,S
βιήσατο,0,S
βιήσατο,2,S
βιαζόμενον,0,S
βιβάντα,0,S
βιβάντα,2,S
βιβάς,0,S
βιβάσθων,0,S
βιησάμενος,0,S
βιησάμενος,2,S
βιοῖο,0,S
βιός,0,S
βιότοιο,0,S
βιώτω,0,S
βιὸν,0,S
βιὸς,0,S
βιῴατο,0,S
βιῴατο,2,S
βιῶναι,0,S
βλάβεν,0,S
βλάβεται,0,S
βλήτροισι,2,S
βλαφθέντα,2,S
βλεφάροιιν,1,S
βλεφάροιιν,3,S
βλεφάροισιν,1,S
βλεφάροισιν,3,S
βλεφάρων,1,S
βλοσυροῖσι,1,S
βλοσυροῖσι,3,S
βλοσυρῇσιν,1,S
βλοσυρῇσιν,3,S
βλοσυρῶπις,1,S
βλοσυρῶπις,3,L
βοάγρια,2,S
βοάγρια,3,S
βοάᾳ,1,S
βοέοισιν,3,S
βοαγρίου,2,S
βοηλασίῃ,2,S
βοηλασίῃ,3,S
βοιβηΐδα,2,S
βοιβηΐδα,3,S
βοιώτιον,2,S
βοιώτιος,2,S
βορέαο,2,L
βοσκομενάων,3,L
βοτάνης,1,S
βοτρυδὸν,1,L
βουβῶνα,2,S
βουγάϊε,1,L
βουγάϊε,2,S
βουκολέοντι,4,S
βουκολίδαο,2,S
βουκολίδαο,3,L
βουκολίων,2,S
βουκολίωνι,2,S
βουλάς,1,L
βουλευτῇσι,3,S
βουλεύουσι,3,S
βουλεύσατο,2,S
βουλυτὸν,1,L
βουλὰς,1,L
βουλῇσιν,2,S
βουπλῆγι,2,S
βουπράσιόν,1,S
βουπράσιόν,2,S
βουπρασίοιο,1,S
βουπρασίοιο,2,S
βουπρασίου,1,S
βουπρασίου,2,S
βουπρασίῳ,1,S
βουπρασίῳ,2,S
βουσὶ,1,S
βουσὶν,1,S
βοόωντά,3,S
βοόωσιν,3,S
βούβρωστις,2,S
βούλευσαν,2,S
βοᾶν,1,L
βράχε,0,S
βρίζοντα,2,S
βρίθουσαν,0,L
βρίθουσαν,2,S
βρίσαντες,0,L
βραδέες,0,S
βραδυτῆτί,0,S
βραδυτῆτί,1,S
βραδυτῆτί,3,S
βραχίονα,0,S
βραχίονα,1,L
βραχίονα,3,S
βραχίονος,0,S
βραχίονος,1,L
βριάρεων,0,S
βριάρεων,1,S
βριήπυος,0,S
βριήπυος,2,S
βριαρήν,0,S
βριαρήν,1,S
βριαρὴν,0,S
βριαρὴν,1,S
βριαρῇ,0,S
βριαρῇ,1,S
βριθομένη,0,L
βριθοσύνῃ,0,L
βριθοσύνῃ,2,S
βριθὺ,0,L
βριθὺ,1,S
βρισηΐδα,0,L
βρισηΐδα,2,S
βρισηΐδα,3,S
βρισηΐδι,0,L
βρισηΐδι,2,S
βρισηΐδι,3,S
βρισηΐδος,0,L
βρισηΐδος,2,S
βρισηῒς,0,L
βρισῆος,0,L
βρομέωσι,3,S
βροτοῖσι,2,S
βροτοῖσιν,2,S
βροτόεντα,3,S
βρυσειάς,0,L
βρωτὺν,1,L
βρύει,0,S
βρῶσις,1,S
βωμοῖσι,2,S
βωτιανείρῃ,1,S
βωτιανείρῃ,2,S
βόας,1,S
βόεσσι,2,S
βόσιν,1,S
βότρυες,1,S
βώσαντι,2,S
βώτορας,2,S
βὰς,0,L
βῆσαν,1,S
γάλα,0,S
γάλα,1,S
γάμοι,0,S
γάμοιο,0,S
γάμον,0,S
γάμου,0,S
γάμῳ,0,S
γάνυται,0,S
γάνυται,1,S
γάρ,0,L
γάργαρον,1,S
γέλασαν,1,S
γέρα,1,S
γέρας,1,S
γέροντα,2,S
γέροντας,2,S
γέροντι,2,S
γέρουσιν,2,S
γέφυραι,1,L
γήραΐ,1,S
γήραΐ,2,S
γήραος,1,S
γήραϊ,1,S
γήραϊ,2,S
γαλάτεια,0,S
γαλάτεια,1,S
γαλόων,0,S
γαλόῳ,0,S
γαμέω,0,S
γαμβροῖσι,2,S
γαμφηλῇσι,3,S
γαμφηλῇσιν,3,S
γαμψώνυχες,2,S
γανυμήδεος,0,S
γανυμήδεος,1,S
γανυμήδης,0,S
γανυμήδης,1,S
γανόωντες,0,S
γανόωσαι,0,S
γανύσσεται,0,S
γαργάρῳ,1,S
γαστέρα,2,S
γαστέρι,2,S
γαστρὶ,1,S
γαῖα,1,S
γαῖαν,1,S
γείνατο,1,S
γείνατ’,1,S
γεγάασι,1,S
γεγάασι,2,L
γεγάασι,3,S
γεγαῶτα,1,S
γεγαῶτα,3,S
γεγαῶτας,1,S
γελάσασα,1,S
γελάσασα,2,L
γελάσασα,3,S
γελοίϊον,2,S
γενεῆφι,3,S
γενεῆφιν,3,S
γενοίατο,2,S
γενοίμεθα,3,S
γενόμεσθα,3,S
γενύων,1,S
γενώμεθα,3,S
γεράνων,1,S
γερήνιος,2,S
γεραρόν,1,S
γεραρώτερος,1,S
γερούσιον,2,S
γεφύρας,1,L
γεφύρωσεν,1,L
γηθοσύνῃ,2,S
γηθόσυνοι,2,S
γηθόσυνος,2,S
γηράς,1,L
γηράσκοντα,3,S
γιγνομένοισιν,4,S
γλάγος,0,S
γλήνεα,2,S
γλακτοφάγων,2,S
γλαυκιόων,1,S
γλαυκώπιδα,2,S
γλαυκώπιδα,3,S
γλαυκώπιδι,2,S
γλαυκώπιδι,3,S
γλαυκώπιδος,2,S
γλαυκῶπι,2,S
γλαυκῶπις,2,S
γλαφυράς,0,S
γλαφυράς,1,S
γλαφυράς,2,L
γλαφυραὶ,0,S
γλαφυραὶ,1,S
γλαφυρὰς,0,S
γλαφυρὰς,1,S
γλαφυρὰς,2,L
γλαφυρῆς,0,S
γλαφυρῆς,1,S
γλαφυρῇς,0,S
γλαφυρῇς,1,S
γλαφυρῇσι,0,S
γλαφυρῇσι,1,S
γλαφυρῇσι,3,S
γλαφυρῇσιν,0,S
γλαφυρῇσιν,1,S
γλαφυρῇσιν,3,S
γλαφυρῷ,0,S
γλαφυρῷ,1,S
γλαφύρας,0,S
γλαφύρας,1,S
γλισᾶντ’,0,L
γλυκίων,0,S
γλυκίων,1,S
γλυκεροῖο,0,S
γλυκεροῦ,0,S
γλυκερὸς,0,S
γλυκερῆς,0,S
γλυκερῷ,0,S
γλυκύθυμος,0,S
γλυκύθυμος,1,S
γλυκύθυμος,2,L
γλυκὺ,0,S
γλυκὺ,1,S
γλυκὺν,0,S
γλυκὺν,1,S
γλυκὺς,0,S
γλυκὺς,1,S
γλυφίδας,0,S
γλυφίδας,1,S
γλωχῖνα,1,L
γλωχῖνα,2,S
γλώσσῃσιν,2,S
γλῶσσα,1,S
γνήσιον,1,S
γναμπτοῖσι,2,S
γναμπτῇσι,2,S
γνώωσι,2,S
γνῶσιν,1,S
γοάοιμεν,1,S
γοργυθίωνα,1,S
γοργυθίωνα,2,S
γουνάσομαι,1,S
γοόωσά,3,S
γοόωσα,3,S
γούναθ’,1,S
γούνασι,1,S
γούνασι,2,S
γούνασιν,1,S
γούνασιν,2,S
γούνατά,1,S
γούνατά,2,S
γούνατα,1,S
γούνατα,2,S
γούνατος,1,S
γούνατ’,1,S
γούνεσσι,2,S
γούνεσσιν,2,S
γοῦνα,1,S
γράψας,1,L
γρήνικός,1,L
γρηῒ,1,S
γυάλοιο,0,S
γυάλοιο,1,S
γυάλοισιν,0,S
γυάλοισιν,1,S
γυάλοισιν,3,S
γυγαίη,0,L
γυγαίῃ,0,L
γυμνωθέντα,3,S
γυνή,0,S
γυναικί,0,S
γυναικί,2,S
γυναικός,0,S
γυναικὶ,0,S
γυναικὶ,2,S
γυναικὸς,0,S
γυναικῶν,0,S
γυναιμανὲς,0,S
γυναιμανὲς,2,S
γυναιξί,0,S
γυναιξί,2,S
γυναιξὶ,0,S
γυναιξὶν,0,S
γυναῖκά,0,S
γυναῖκά,2,S
γυναῖκα,0,S
γυναῖκα,2,S
γυναῖκας,0,S
γυναῖκας,2,S
γυναῖκες,0,S
γυναῖκ’,0,S
γυναῖχ’,0,S
γυνὴ,0,S
γυρτιάδην,1,S
γυρτιάδην,2,S
γυῖα,1,S
γόνυ,1,S
γόρτυνά,1,L
γόρτυνά,2,S
γύαλον,0,S
γύαλον,1,S
γύναι,0,S
γύπεσσιν,0,L
γὰρ,0,S
γῆρας,1,S
γῦπες,0,L
γ’αἰνοτάτη,2,S
γ’αἴτιος,1,S
γ’αὐέρυον,2,S
γ’αὐτοσταδίῃ,2,S
γ’αὐτοσταδίῃ,3,S
γ’εἰσελθοῦσα,3,S
γ’εἴα,1,L
γ’οὐκέτι,2,S
γ’οὐτάμεν,1,S
γ’υἷας,1,S
γ’ἀεθλεύειν,0,S
γ’ἀθέριζον,0,S
γ’ἀθήνη,0,S
γ’ἀθανάτοισι,0,L
γ’ἀθανάτοισι,1,S
γ’ἀθανάτοισι,2,S
γ’ἀθανάτοισι,4,S
γ’ἀθανάτων,0,L
γ’ἀθανάτων,1,S
γ’ἀθανάτων,2,S
γ’ἀθηναίῃ,0,S
γ’ἀμείνονα,0,S
γ’ἀμείνονα,3,S
γ’ἀμφίβασιν,1,S
γ’ἀμφίβασιν,2,S
γ’ἀμφίεπον,1,S
γ’ἀνήρ,0,L
γ’ἀνεδύσετο,0,S
γ’ἀνεδύσετο,2,L
γ’ἀντίος,1,S
γ’ἀντιβίοισι,1,S
γ’ἀντιβίοισι,2,S
γ’ἀντιβίοισι,4,S
γ’ἀνὴρ,0,S
γ’ἀποπαύσεσθαι,0,S
γ’ἀπόλλων,0,S
γ’ἀπὸ,0,S
γ’ἀρηϊφίλων,0,S
γ’ἀρηϊφίλων,2,S
γ’ἀρηϊφίλων,3,S
γ’ἀστυνόῳ,1,S
γ’ἀτρεΐδης,2,S
γ’ἀχαιούς,0,S
γ’ἀχιλεὺς,0,S
γ’ἀχιλεὺς,1,S
γ’ἄκουσε,0,S
γ’ἄκουσεν,0,S
γ’ἄλοχός,0,S
γ’ἄμεινον,0,S
γ’ἄνδρας,1,S
γ’ἄνευθε,0,S
γ’ἄνευθεν,0,S
γ’ἄρηα,0,L
γ’ἄρηα,2,L
γ’ἄρ’,0,S
γ’ἐγγύθεν,1,S
γ’ἐδείδιμεν,2,S
γ’ἐκεύθανον,2,S
γ’ἐλάσας,1,S
γ’ἐλθοῦσα,2,S
γ’ἐμμεμαὼς,2,S
γ’ἐμμεμαῶτε,2,S
γ’ἐνὶ,1,S
γ’ἐξοπίσω,2,S
γ’ἐποτρύνων,2,L
γ’ἐπὶ,1,S
γ’ἐράασθε,1,S
γ’ἐρεισάμενος,2,S
γ’ἐρυγόντα,1,S
γ’ἐρυγόντα,3,S
γ’ἐστί,1,S
γ’ἐστὶ,1,S
γ’ἑσταότες,1,S
γ’ἑτοῖμα,2,S
γ’ἔδεισας,2,S
γ’ἔνθα,1,S
γ’ἔπειτα,2,S
γ’ἔστι,1,S
γ’ἔτραφεν,1,S
γ’ἔτραφ’,1,S
γ’ἕκτορα,2,S
γ’ἰθὺ,0,L
γ’ἰθὺ,1,S
γ’ἱμερόεντα,0,L
γ’ἱμερόεντα,4,S
γ’ὀΐομαι,1,L
γ’ὀΐω,1,L
γ’ὄρνυθι,1,S
γ’ὄρνυθι,2,S
γ’ὅρκι’,1,S
γ’ὑποσχόμενοι,0,S
γ’ὑπὸ,0,S
δάηται,0,S
δάκε,0,S
δάκρυ,1,S
δάκρυα,1,S
δάκρυα,2,S
δάκρυον,1,S
δάκρυσι,1,S
δάκρυσι,2,S
δάκρυσιν,1,S
δάκρυσιν,2,S
δάκρυ’,1,S
δάμαρ,0,S
δάμαρ,1,L
δάμαρτι,0,S
δάμασε,0,S
δάμασε,1,S
δάμασον,0,S
δάμασον,1,S
δάμασσαν,0,S
δάμασσας,0,S
δάμασσε,0,S
δάμασσεν,0,S
δάμασσον,0,S
δάμασσ’,0,S
δάμασ’,0,S
δάμασ’,1,S
δάμεν,0,S
δάμη,0,S
δάμνα,1,L
δάμνατο,1,S
δάμνησι,2,S
δάος,0,S
δάρδανοι,1,S
δάρδανον,1,S
δάρδανος,1,S
δάρης,0,S
δάρητος,0,S
δάσασθαι,0,S
δάσκιος,1,S
δάσονται,0,S
δέδυκεν,1,L
δέκα,1,S
δέμας,1,S
δέμνι’,1,S
δένδρεα,2,S
δέξατο,1,S
δέξατό,1,S
δέπας,1,S
δέπαϊ,1,S
δέπαϊ,2,L
δέρμα,1,S
δέρματι,1,S
δέρματι,2,S
δέσματα,1,S
δέσματα,2,S
δέχαται,1,S
δήθυνεν,1,L
δήμια,1,S
δήμια,2,S
δήνεα,2,S
δήσας,1,L
δήϊοι,1,S
δήϊον,1,S
δία,0,S
δία,1,S
δίαινε,0,S
δίδαξε,0,S
δίδη,0,S
δίδομεν,0,S
δίδου,0,S
δίδυμοι,0,S
δίδυμοι,1,S
δίδωμι,0,S
δίδωμι,2,S
δίδωσι,0,S
δίδωσι,2,S
δίε,0,S
δίειπέ,0,S
δίενται,0,S
δίεπε,0,S
δίεπ’,0,S
δίεσθαι,0,S
δίζυγες,1,S
δίης,0,L
δίηται,0,S
δίκαζον,0,S
δίκην,0,S
δίκης,0,S
δίκῃ,0,S
δίκῃσί,0,S
δίκῃσί,2,S
δίνας,0,L
δίνης,0,L
δίνῃσι,0,L
δίνῃσι,2,S
δίον,0,S
δίου,0,L
δίπλακα,1,S
δίπλακα,2,S
δίπλακι,1,S
δίπλακι,2,S
δίπτυχα,1,S
δίπτυχα,2,S
δίσκουρα,2,S
δίφροισι,2,S
δίχα,0,S
δίχα,1,S
δίψά,1,S
δίωκε,0,S
δίωνται,0,S
δίῃ,0,L
δίῳ,0,L
δαΐδων,0,S
δαΐδων,1,S
δαΐζων,0,S
δαΐξαι,0,S
δαΐφρον,0,S
δαΐφρονα,0,S
δαΐφρονα,3,S
δαΐφρονι,0,S
δαΐφρονι,3,S
δαΐφρονος,0,S
δαΐφρων,0,S
δαέρα,0,L
δαέρα,2,S
δαέρων,0,S
δαήμεναι,0,S
δαήμονα,0,S
δαήμονα,3,S
δαήμονος,0,S
δαίδαλα,1,S
δαίδαλα,2,S
δαίδαλος,1,S
δαίμονά,2,S
δαίμονα,2,S
δαίμονας,2,S
δαίμονι,2,S
δαίμοσιν,2,S
δαίνυ,1,L
δαίνυται,1,S
δαίνυ’,1,S
δαίτορά,2,S
δαίτῃσι,2,S
δαείω,0,S
δαιδάλεα,1,S
δαιδάλεον,1,S
δαιδαλέην,1,S
δαιδαλέης,1,S
δαιδαλέοιο,1,S
δαιδαλέοισι,1,S
δαιδαλέοισιν,1,S
δαιδαλέου,1,S
δαιδαλέῃ,1,S
δαιμονίη,2,S
δαιμόνιε,2,S
δαιμόνι’,2,S
δαινυμένους,1,S
δαινῦτό,1,L
δαιτύος,1,S
δαιτὶ,1,S
δακέειν,0,S
δακρυοέσσης,1,S
δακρυόεις,1,S
δακρυόεν,1,S
δακρυόεντα,1,S
δακρυόεσσα,1,S
δακρυόεσσα,4,S
δακρυόεσσαι,1,S
δακρυόεσσαν,1,S
δακρυόεσσαν,4,S
δακρυόφι,1,S
δακρύσαντας,1,L
δακρύσας,1,L
δακρύσας,2,L
δαλὸν,0,L
δαλὸς,0,L
δαμάσαντες,0,S
δαμάσαντες,1,S
δαμάσαντό,0,S
δαμάσαντό,1,S
δαμάσασθαι,0,S
δαμάσασθαι,1,S
δαμάσθη,0,S
δαμάσσατο,0,S
δαμάσσατο,2,S
δαμάσσεται,0,S
δαμάσσομεν,0,S
δαμάσσω,0,S
δαμάσσῃ,0,S
δαμάᾳ,0,S
δαμάᾳ,1,S
δαμέντα,0,S
δαμέντας,0,S
δαμέντε,0,S
δαμέντες,0,S
δαμέντι,0,S
δαμέντ’,0,S
δαμήμεναι,0,S
δαμήῃ,0,S
δαμήῃς,0,S
δαμασαίμεθα,0,S
δαμασαίμεθα,1,S
δαμασαίμεθα,4,S
δαμασθείς,0,S
δαμασθεὶς,0,S
δαμασσάμενοί,0,S
δαμασσάμενοί,2,S
δαμαστορίδην,0,S
δαμαστορίδην,3,S
δαμείετε,0,S
δαμείη,0,S
δαμείς,0,S
δαμεὶς,0,S
δαμεῖεν,0,S
δαμναμένους,1,S
δαμόωσιν,0,S
δαμόωσιν,3,S
δαμᾷ,0,S
δαμῆναι,0,S
δανάης,0,S
δανάης,1,S
δαναοί,0,S
δαναοί,1,S
δαναούς,0,S
δαναούς,1,S
δαναοὶ,0,S
δαναοὶ,1,S
δαναοὺς,0,S
δαναοὺς,1,S
δαναοῖσί,0,S
δαναοῖσί,1,S
δαναοῖσί,3,S
δαναοῖσι,0,S
δαναοῖσι,1,S
δαναοῖσι,3,S
δαναοῖσιν,0,S
δαναοῖσιν,1,S
δαναοῖσιν,3,S
δαναῶν,0,S
δαναῶν,1,S
δαπέδῳ,0,S
δαρδάνου,1,S
δαρδανίδαο,1,S
δαρδανίδαο,2,S
δαρδανίδαο,3,L
δαρδανίδες,1,S
δαρδανίδες,2,S
δαρδανίδη,1,S
δαρδανίδη,2,S
δαρδανίδην,1,S
δαρδανίδην,2,S
δαρδανίδης,1,S
δαρδανίδης,2,S
δαρδανίδων,1,S
δαρδανίδων,2,S
δαρδανίδῃ,1,S
δαρδανίδῃ,2,S
δαρδανίην,1,S
δαρδανίην,2,S
δαρδανίων,1,S
δαρδανίων,2,S
δαρδανίωνες,1,S
δαρδανίωνες,2,S
δαρδανιάων,1,S
δαρδανιάων,2,S
δαρδανιάων,3,L
δασάσκετο,0,S
δατέονται,0,S
δατέοντο,0,S
δατεώμεθα,0,L
δατεώμεθα,4,S
δατεῦντο,0,S
δαυλίδα,1,S
δαυλίδα,2,S
δαφοινεὸν,0,S
δαφοινοὶ,0,S
δαφοινὸν,0,S
δαφοινὸς,0,S
δαϊζέμεναι,0,S
δαϊζόμενος,0,S
δαϊκταμένων,0,S
δαϊκταμένων,2,S
δαὴρ,0,L
δαῒ,0,S
δαῒ,1,S
δαῖτα,1,S
δαῶμεν,0,S
δείδια,1,S
δείδια,2,S
δείδιε,1,S
δείδιθι,1,S
δείδιθι,2,S
δείδιμεν,1,S
δείδισαν,1,S
δείδισαν,2,S
δείδιτε,1,S
δείδοικα,2,S
δείξειας,2,S
δείσας,1,L
δεδάκρυσαι,2,L
δεδίασιν,1,S
δεδίασιν,2,L
δεδαϊγμένοι,1,S
δεδαϊγμένον,1,S
δεδαϊγμένος,1,S
δεδαϊγμένῳ,1,S
δεδεγμένα,3,S
δεδιδάχθαι,1,S
δεδμήατο,2,S
δεδμήμεσθα,3,S
δειδέχατ’,2,S
δειδιότα,1,S
δειδιότας,1,S
δειδιότας,3,L
δειδιότες,1,S
δεικανόωντο,1,S
δεικνύμενος,1,S
δειλοῖσι,2,S
